"","all_agencies"
"1412","La Marque Police Department (TX)"
"1413","Colton Police Department (CA)"
"1414","Hamlin Police Department (TX)"
"1415","Hendersonville Police Department (NC)"
"1416","York County Sheriff's Office (SC)"
"1417","Greenburgh Police Department (NY)"
"1418","Cameron Police Department (MO)"
"1419","U.S. Customs and Border Protection (AZ)"
"1420","Washoe County Sheriff's Office (NV)"
"1421","Eaton County Sheriff's Office (MI)"
"1422","Huntington Park Police Department (CA)"
"1423","Hanford Police Department (CA)"
"1424","Covina Police Department (CA)"
"1425","Taos County Sheriff's Office (NM)"
"1426","Hays County Sheriff's Department (TX)"
"1427","Pell City Police Department (AL)"
"1428","Laclede County Sheriff's Office (MO)"
"1429","Missouri Highway Patrol (MO)"
"1430","Lompoc Police Department (CA)"
"1431","Davenport Police Department (IA)"
"1432","Warren County Sheriff's Office (KY)"
"1433","Prichard Police Department (AL)"
"1434","West Monroe Police Department (LA)"
"1435","US Park Police (VA)"
"1436","Matagorda County Sheriff's Office (TX)"
"1437","Levy County Sheriff's Office (FL)"
"1438","Fall River Police Department (MA)"
"1439","Iowa Department of Natural Resources (IA)"
"1440","Humboldt County Sheriff's Office (IA)"
"1441","Edwards Police Department (MS)"
"1442","Crystal Police Department (MN)"
"1443","New Hope Police Department"
"1444","Robbinsdale Police Department (MN)"
"1445","Terrebonne Parish Sheriff's Office (LA)"
"1446","Rhode Island State Police (RI)"
"1447","Providence Police Department (RI)"
"1448","Flatwoods Police Departments (KY)"
"1449","Bellefonte Police Department"
"1450","Russell Police Department (KY)"
"1451","Roanoke City Police Department (VA)"
"1452","Forest Park Police Department (GA)"
"1453","Ashland County Sheriff's Office (WI)"
"1454","Lindsay Police Department (OK)"
"1455","Lynchburg Police Department (VA)"
"1456","Ruidoso Police Department (NM)"
"1457","Clarksville Police Department (AR)"
"1458","Columbus MS Police Department (MS)"
"1459","Parker Police Department (CO)"
"1460","Calhoun County Sheriff's Office (AL)"
"1461","Batesville Police Department (AR)"
"1462","Port Orange Police Department (FL)"
"1463","Inkster Police Department (MI)"
"1464","Owen County Sheriff's Office (IN)"
"1465","Anniston Police Department (AL)"
"1466","Knott County Sheriff's Office (KY)"
"1467","Doña Ana County Sheriff's Office (NM)"
"1468","Sunnyvale Police Department (CA)"
"1469","Overton County Sheriff's Office (TN)"
"1470","Davenport Police Department (PA)"
"1471","Hernando Police Department (MS)"
"1472","New Castle Police Department (IN)"
"1473","Jackson County Sheriff's Office (WI)"
"1474","Polk County Sheriff's Office (OR)"
"1475","Erie Police Department (PA)"
"1476","Martin County Sheriff's Office (FL)"
"1477","Fairhope Police Department (AL)"
"1478","Chemung County Sheriff's Office"
"1479","St. Petersburg Police Department (FL)"
"1480","Pennsylvania Fish and Boat Commission (PA)"
"1481","Norwich Police Department (CT)"
"1482","Bureau of Indian Affairs (ND)"
"1483","Lodi Police Department (CA)"
"1484","Shelbyville Police Department (KY)"
"1485","Crandon Police Department (WI)"
"1486","Girard Police Department (OH)"
"1487","Cloverdale Police Department (CA)"
"1488","Sequoyah County Sheriff's Office (OK)"
"1489","Avoyelles Parish Sheriff's Office (LA)"
"1490","Moraine Police Department (OH)"
"1491","York County Sheriff's Office (NC)"
"1492","Clover Police Department (NC)"
"1493","Williamsburg Police Department (VA)"
"1494","Atwater Police Department (CA)"
"1495","Montgomery County Precinct 4 Constable's Office (TX)"
"1496","Pima County Sheriff's Office (AZ)"
"1497","Wayne County Sheriff's Office (KY)"
"1498","Charlottesville Police Department (VA)"
"1499","Homewood Police Department (AL)"
"1500","Biloxi Police Department (MS)"
"1501","Thurston County Sheriff's Office (WA)"
"1502","Conway County Sheriff's Office (AR)"
"1503","Pinetop-Lakeside Police Department (AZ)"
"1504","San Fernando Police Department (CA)"
"1505","Miami Beach Police Department (FL)"
"1506","Kanawha County Sheriff's Office (WV)"
"1507","Barber County Sheriff's Office (KS)"
"1508","Perryopolis Police Department (PA)"
"1509","Leeds Police Department (AL)"
"1510","Finney County Sheriff's Office (KS)"
"1511","Garden City Police Department (KS)"
"1512","Paulding County Sheriff's Office (GA)"
"1513","Canandaigua Police Department (NY)"
"1514","Thomas County Sheriff's Office (GA)"
"1515","Ouachita Parish Sheriff's Office (LA)"
"1516","Seward Police Department (AK)"
"1517","Fort Collins Police Services (CO)"
"1518","Robeson County Sheriff's Office (NC)"
"1519","Hialeah Police Department (FL)"
"1520","Topeka Police Department (KS)"
"1521","Fairfield Police Department (CA)"
"1522","Bonner County Sheriff's Office (ID)"
"1523","Palmetto Police Department (FL)"
"1524","Oceanside Beach Police Department (CA)"
"1525","Rockwall Police Department (TX)"
"1526","Chula Vista Police Department (CA)"
"1527","La Porte Police Department (TX)"
"1528","Union Parish Sheriff's Office (LA)"
"1529","Union County Sheriff's Office (NC)"
"1530","Grayson County Sheriff's Office (VA)"
"1531","Georgia Tech Police Department (GA)"
"1532","Prince William County Police Department (VA)"
"1533","El Mirage Police Department (AZ)"
"1534","Plano Police Department (TX)"
"1535","Arcata Police Department (CA)"
"1536","Humboldt State University Police Department (CA)"
"1537","Monett Police Department (MO)"
"1538","U.S. Marshals Service (TX)"
"1539","Lewis County Sheriff's Office (TN)"
"1540","Stow Police Department (OH)"
"1541","Pittsfield Police Department (MA)"
"1542","Grant County Sheriff's Office (WI)"
"1543","Federal Protective Service (IN)"
"1544","Jacksonville Police Department (AL)"
"1545","Lincoln Parish Sheriff's Office (LA)"
"1546","McPherson County Sheriff's Office (KS)"
"1547","New Milford Police Department (CT)"
"1548","San Juan County Sheriff's Office (NM)"
"1549","Greene County Sheriff's Office (GA)"
"1550","La Mesa Police Department (CA)"
"1551","San Diego Police Department"
"1552","Waterford Police Department (MI)"
"1553","Regional Transportation District Transit Police (CO)"
"1554","Olathe Police Department (KS)"
"1555","Johnson County Sheriff's Office (KS)"
"1556","Rio Rancho Police Department (NM)"
"1557","Kewaunee County Sheriff's Office (WI)"
"1558","Columbia County Sheriff's Office (WI)"
"1559","Adult Probation Department Jefferson County Courthouse (OH)"
"1560","Burke County Sheriff's Office (NC)"
"1561","Brick Township Police Department (NJ)"
"1562","U.S. National Park Service (AR)"
"1563","Bloomfield Police Department (NJ)"
"1564","Crenshaw County Sheriff's Office (AL)"
"1565","Livermore Police Department (CA)"
"1566","La Crosse Police Department (WI)"
"1567","Habersham County Sheriff's Office (GA)"
"1568","Crete Police Department (IN)"
"1569","Junction City Police Department (KS)"
"1570","Geary County Sheriff's Office (KS)"
"1571","Dolton Police Department (IL)"
"1572","Independence Police Department (MO)"
"1573","North Bergen Police Department (NJ)"
"1574","Dickson Police Department (TN)"
"1575","New Straitsville Police Department (OH)"
"1576","Santa Rosa Police Department (CA)"
"1577","Fort Lauderdale Police Department (FL)"
"1578","Lauderdale County Sheriff's Office (MS)"
"1579","Warren City Police Department (PA)"
"1580","Swisher County Sheriff's Office (TX)"
"1581","Marine City Police Department (MI)"
"1582","Red River Parish Sheriff's Office (LA)"
"1583","Dekalb County Police Department (GA)"
"1584","Marion County Sheriff's Department (WV)"
"1585","Surry County Sheriff's Office (NC)"
"1586","Oshkosh Police Department (WI)"
"1587","Owyhee County Sheriff's Office (ID)"
"1588","Nampa Police Department"
"1589","Caldwell Police Department"
"1590","Canyon County Sheriff's Office"
"1591","Glenville Police Department (NY)"
"1592","Avenal Police Department (CA)"
"1593","Wenatchee Police Department (WA)"
"1594","Chowchilla Police Department (CA)"
"1595","San Bernardino County Sheriff's Department (CA)"
"1596","Louisiana Department of Corrections (LA)"
"1597","Trotwood Police Department (OH)"
"1598","Montgomery County Sheriff's Office (OH)"
"1599","Indian River Sheriff's Office (FL)"
"1600","Marion Police Department (AR)"
"1601","Avondale Police Department (AZ)"
"1602","Festus Police Department"
"1603","Missouri Highway Patrol"
"1604","Jefferson County Sheriff's Department (MO)"
"1605","Chico Police Department (CA)"
"1606","Spencer Police Department (MA)"
"1607","Southaven Police Department (MS)"
"1608","Eau Claire Police Department (WI)"
"1609","Yavapai County Sheriff's Office (AZ)"
"1610","Chino Valley Police Department (AZ)"
"1611","Neosho Police Department (MO)"
"1612","Saginaw Township Police Department (MI)"
"1613","Fulton-El Camino Recreation and Parks District (CA)"
"1614","Santa Fe Police Department (NM)"
"1615","Eagar Police Department (AZ)"
"1616","Norfolk Police Department (VA)"
"1617","Culpeper County Sheriff's Office (VA)"
"1618","Los Alamitos Police Department (CA)"
"1619","San Carlos Apache Tribal Police Department (AZ)"
"1620","Dillon County Sheriff's Office (SC)"
"1621","Grover Beach Police Department (CA)"
"1622","Butler County Sheriff's Department (MO)"
"1623","Leavenworth Police Department (KS)"
"1624","Mohave County Sheriff's Office (AZ)"
"1625","Henrico Police Department (VA)"
"1626","Waukesha County Sheriff's Department (WI)"
"1627","Delafield Police Department (WI)"
"1628","Chisago County Sheriff's Office (MN)"
"1629","Howard County Police Department (MD)"
"1630","Bainbridge Island Police Department (WA)"
"1631","Uniontown Police Department (OH)"
"1632","Putnam County Sheriff's Office (FL)"
"1633","Johnston County Sheriff's Office (NC)"
"1634","Priceville Police Department (AL)"
"1635","Washington County Sheriff's Office (GA)"
"1636","Evangeline Parish Sheriff's Office (LA)"
"1637","Monroe County Sheriff's Office (IL)"
"1638","Somerset County Sheriff's Office (ME)"
"1639","Centerville Police Department (UT)"
"1640","Belleville Police Department (IL)"
"1641","Montezuma County Sheriff's Office (CO)"
"1642","Houston County Sheriff's Office (GA)"
"1643","Fishers Police Department (IN)"
"1644","Brunswick Police Department (GA)"
"1645","Colorado State University Police Department (CO)"
"1646","Littleton Police Department (CO)"
"1647","Englewood Police Department (CO)"
"1648","Cobb County Sheriff's Office (GA)"
"1649","Robertson County Sheriff's Office (TN)"
"1650","North Charleston Police Department (SC)"
"1651","Washington County Sheriff's Office (AL)"
"1652","Vernon County Sheriff's Office (MO)"
"1653","McCurtain County Sheriff's Office (OK)"
"1654","Valliant Police Department (OK)"
"1655","Marion County Sheriff's Office (KS)"
"1656","Williamson County Sheriff's Office (TN)"
"1657","Tuscaloosa County Sheriff's Office (AL)"
"1658","Massachusetts State Police (NH)"
"1659","Somerville Police Department (TN)"
"1660","United States Capitol Police (VA)"
"1661","Milwaukee County Sheriff's Office (WI)"
"1662","Jerseyville Police Department (IL)"
"1663","New Hampshire Department of Safety (NH)"
"1664","Knox County Sheriff's Office (KY)"
"1665","St. Martin Parish Sheriff's Office (LA)"
"1666","Selma Police Department (CA)"
"1667","Taylor County Sheriff's Office (TX)"
"1668","Iowa County Sheriff's Office (IA)"
"1669","Ridgecrest Police Department (CA)"
"1670","Caldwell County Sheriff's Office (NC)"
"1671","Petal Police Department (MS)"
"1672","Henry County Sheriff's Office (AL)"
"1673","Cary Police Department (NC)"
"1674","Belfast Police Department (ME)"
"1675","Oneida Police Department (TN)"
"1676","Scott County Sheriff's Department (TN)"
"1677","Alaska State Trooper (AK)"
"1678","West Milwaukee Police Department (WI)"
"1679","Canton Police Department (OH)"
"1680","South San Francisco Police Department (CA)"
"1681","Knox County Sheriff's Office (TN)"
"1682","Chelsea Police Department (MA)"
"1683","Converse Police Department (LA)"
"1684","Kennebec County Sheriff's Office (ME)"
"1685","Columbus Police Department (GA)"
"1686","Arlington County Police Department (VA)"
"1687","Cook County Sheriff's Office (IL)"
"1688","Broadwater County Sheriff's Office (MT)"
"1689","Gallatin County Sheriff's Office"
"1690","Montana Highway Patrol (MT)"
"1691","Tustin Police Department (CA)"
"1692","Carter County Sheriff's Office (TN)"
"1693","Pulaski Police Department (VA)"
"1694","Pulaski County Sheriff's Office (VA)"
"1695","Columbia Police Department (MO)"
"1696","Greenfield Police Department (IN)"
"1697","West Allis Police Department (WI)"
"1698","New Berlin Police Department (WI)"
"1699","Rohnert Park Police Department (CA)"
"1700","Tiffin Police Department (OH)"
"1701","Seneca County Sheriff's Office (OH)"
"1702","Bridgeport Police Department (CT)"
"1703","Livingston County Sheriff's Office (MI)"
"1704","Phenix City Police Department (AL)"
"1705","Braintree Police Department (MA)"
"1706","Grand Rapids Police Department (MI)"
"1707","Peachtree City Police Department (GA)"
"1708","Balch Springs Police Department (TX)"
"1709","Federal Bureau of Investigation (GA)"
"1710","Federal Bureau of Investigation (DE)"
"1711","New Castle County Sheriff's Office"
"1712","Wilmington Police Department"
"1713","Lewistown Police Department (PA)"
"1714","Cambria Township Police Department (PA)"
"1715","Cambria County Sheriff's Office (PA)"
"1716","Angelina County Sheriff's Office (TX)"
"1717","Texas Department of Public Safety"
"1718","Nacogdoches Police Department"
"1719","Prescott Police Department (AZ)"
"1720","Yuba City Police Department (CA)"
"1721","Hamilton Police Department (OH)"
"1722","Portage Police Department (IN)"
"1723","West Linn Police Department (OR)"
"1724","Logan County Sheriff's Office (OK)"
"1725","Hardeeville Police Department (SC)"
"1726","Jasper County Sheriff's Office (SC)"
"1727","Glendale Police Department"
"1728","New Castle County Sheriff's Office (DE)"
"1729","Rockingham County Sheriff's Office (WV)"
"1730","West Virginia State Police"
"1731","the Pendleton County Sheriff's Office"
"1732","Hardy County Sheriff's Office"
"1733","West Virginia Division of Natural Resources (WV)"
"1734","Ramsey County Sheriff's Office (MN)"
"1735","Newport Beach Police Department (CA)"
"1736","Mandan Police Department (ND)"
"1737","Paterson Police Department (NJ)"
"1738","White County Sheriff's Office (TN)"
"1739","Sparta Police Department (TN)"
"1740","Suffield Police Department (CT)"
"1741","Reading Police Department (PA)"
"1742","Santa Paula Police Department (CA)"
"1743","Oglala Sioux Tribal Police (SD)"
"1744","Lake County Sheriff's Office (OH)"
"1745","Goshen Police Department (IN)"
"1746","Pendleton Police Department (SC)"
"1747","Iberia Parish Sheriff's Office (LA)"
"1748","New Castle County Police Department (DE)"
"1749","Philadelphia Police Department (DE)"
"1750","Stockton IL Police Department (IL)"
"1751","McClain County Sheriff's Office (OK)"
"1752","Anderson County Sheriff's Office (KY)"
"1753","Manistee Department of Public Safety (MI)"
"1754","Lowndes County Sheriff's Office (MS)"
"1755","Marshall County Sheriff's Office (TN)"
"1756","Grant County Sheriff's Office"
"1757","Crowley Police Department (LA)"
"1758","Owsley County Sheriff's Office (KY)"
"1759","Monroe Police Department (WA)"
"1760","Polk County Sheriff's Office (MN)"
"1761","DeLand Police Department (FL)"
"1762","Fulton Police Department (GA)"
"1763","Presque Isle Police Department (ME)"
"1764","Crockett County Sheriff's Office (TN)"
"1765","U.S. Drug Enforcement Administration (WI)"
"1766","West Allis Police Department"
"1767","Toms River Police Department (NJ)"
"1768","Wheat Ridge Police Department"
"1769","Panama City Beach Police Department (FL)"
"1770","Euclid Police Department (OH)"
"1771","Bellingham Police Department (WA)"
"1772","Midlothian Police Department (TX)"
"1773","New Castle Police Department (PA)"
"1774","Strongsville Police Department (OH)"
"1775","Houma Police Department (LA)"
"1776","Shelby Police Department (NC)"
"1777","Lincoln County Sheriff's Office (WI)"
"1778","Stanislaus County Sheriff's Department (CA)"
"1779","Tooele County Sheriff's Office (UT)"
"1780","Rocklin Police Department (CA)"
"1781","Butts County Sheriff's Office (GA)"
"1782","Lake Jackson Police Department (TX)"
"1783","Osage County Sheriff's Office (OK)"
"1784","Newton Police Department (KS)"
"1785","Beaverton Police Department (OR)"
"1786","Roy Police Department (UT)"
"1787","Marion County Sheriff's Office (AR)"
"1788","Bull Shoals Police Officer (AR)"
"1789","Kent Police Department (OH)"
"1790","Orange County NC Sheriff's Office (NC)"
"1791","Portland Police Department (ME)"
"1792","Trinity County Sheriff's Office (CA)"
"1793","Newman Police Department (CA)"
"1794","Cape Girardeau Police Department (MO)"
"1795","Shelbyville Police Department (IN)"
"1796","Greensboro Police Department (NC)"
"1797","Bethany Police Department (OK)"
"1798","Bridgeton Police Department (NJ)"
"1799","Gwinnett County Police Department (ME)"
"1800","Lake Stevens Police Department (WA)"
"1801","Anadarko Police Department (OK)"
"1802","Woodland Police Department (CA)"
"1803","Amtrak Police Department (IL)"
"1804","Brookville Police Department (IN)"
"1805","Jackson County Sheriff's Office (AL)"
"1806","Weathersfield Police Department (OH)"
"1807","Mount Pleasant Police Department (TN)"
"1808","Commerce City Police Department (CO)"
"1809","Englewood Police Department (OH)"
"1810","North Carolina Highway Patrol (NC)"
"1811","Hickory Police Department (NC)"
"1812","Forest Park Police Department (IL)"
"1813","Carson County Sheriff's Office (TX)"
"1814","Grafton City Police Department (WV)"
"1815","Wichita Falls Police Department (TX)"
"1816","Contra Costa County Sheriff's Office (CA)"
"1817","Lynnwood Police Department (WA)"
"1818","Kiowa Police Department (OK)"
"1819","Fresno County Sheriff's Office (CA)"
"1820","Montville Police Department (CT)"
"1821","Apache Junction Police Department (AZ)"
"1822","Pecos County Sheriff's Office (TX)"
"1823","Brewster County Sheriff's Office (TX)"
"1824","Alhambra Police Department (CA)"
"1825","Madison Township Police Department (OH)"
"1826","Oxford Police Department (AL)"
"1827","Ada County Sheriff's Office (ID)"
"1828","Kuna Police Department (ID)"
"1829","San Luis Obispo County Sheriff's Office (CA)"
"1830","Mecklenburg County Sheriff's Office (VA)"
"1831","Springfield Police Department (IL)"
"1832","Bulloch County Sheriff's Office (GA)"
"1833","Kenner Police Department (LA)"
"1834","Waldoboro Police Department (ME)"
"1835","Robbins Police Department (IL)"
"1836","Alachua County Sheriff's Office (FL)"
"1837","Caroline County Sheriff's Office (VA)"
"1838","Hutchinson County Sheriff's Office (TX)"
"1839","Florissant Police Department (MO)"
"1840","Lake County Sheriff's Office (IN)"
"1841","Adair County Sheriff's Office (OK)"
"1842","Rolette County Sheriff's Office (ND)"
"1843","Little Elm Police Department (TX)"
"1844","Fairfax County Police (VA)"
"1845","Fayette County Sheriff's Office (GA)"
"1846","Coweta County Sheriff's Office"
"1847","Fulton Police Department (KY)"
"1848","Giles County Sheriff's Office (VA)"
"1849","Mille Lacs County Sheriff's Office (MN)"
"1850","Ocala Police Department (FL)"
"1851","Camden County Police Department (NJ)"
"1852","Austin Police Department (MN)"
"1853","Henderson County Sheriff's Office (TN)"
"1854","Princeton Police Department (WV)"
"1855","Ottawa County Sheriff's Office (OK)"
"1856","Sharon Police Department (PA)"
"1857","Orland Park Police Department (IL)"
"1858","Dinuba Police Department (CA)"
"1859","Monteagle Police Department (TN)"
"1860","Sewanee Police Department"
"1861","Franklin County Sheriff's Office (TN)"
"1862","Garrard County Sheriff's Office (KY)"
"1863","Harrison County Sheriff's Office (IN)"
"1864","Upshur County Sheriff's Office (TX)"
"1865","Allen Police Department (TX)"
"1866","Woodstock Police Department (GA)"
"1867","DuPage County Sheriff's Office (IL)"
"1868","Springfield Township Police Department (OH)"
"1869","Mankato Police Department (MN)"
"1870","Queen Anne's County Sheriff's Office (MD)"
"1871","Spring Hill Police Department (TN)"
"1872","North Riverside Police Department (IL)"
"1873","Nevada County Sheriff's Office (CA)"
"1874","Brazoria County Sheriff's Department (TX)"
"1875","Independence County Sheriff's Office (AR)"
"1876","Gadsden Police Department (AL)"
"1877","Bend Police Department (OR)"
"1878","Ponca City Police Department (OK)"
"1879","Saraland Police Department (AL)"
"1880","Knox City Police Department (IN)"
"1881","Starke County Sheriff's Office (IN)"
"1882","Elk City Police Department (OK)"
"1883","Pharr Police Department (TX)"
"1884","Brawley Police Department (CA)"
"1885","Dallas OR Police Department (OR)"
"1886","Badin Police Department (NC)"
"1887","Coppin State Police Department (MD)"
"1888","Byron Police Department (GA)"
"1889","Peach County Drug Task Force (GA)"
"1890","Bullhead City Police Department (AZ)"
"1891","Medicine Lodge Police Department (KS)"
"1892","York Police Department (NE)"
"1893","White Hall Police Department (WV)"
"1894","Marion County Sheriff's Office (WV)"
"1895","Greenwood Police Department (IN)"
"1896","Sumter Police Department (SC)"
"1897","Monroe County Sheriff's Office (TN)"
"1898","Leland Police Department (NC)"
"1899","Forks Township Police Department (PA)"
"1900","Sioux City Police Department (IA)"
"1901","Duncanville Police Department (TX)"
"1902","Hutchinson Police Department (KS)"
"1903","Orange City Police Department (FL)"
"1904","Hudson Police Department (OH)"
"1905","American Fork Police Department (UT)"
"1906","Lehi Police Department"
"1907","Utah County Sheriff's Office (UT)"
"1908","Shelby County Sheriff's Office (KY)"
"1909","Tuscumbia Police Department (AL)"
"1910","Benton Police Department (AR)"
"1911","Pierce County Sheriff's Department (WA)"
"1912","Friendswood Police Department (TX)"
"1913","Hendricks County Sheriff's Office (IN)"
"1914","Lynn Police Department (MA)"
"1915","Washington Park Police Department (IL)"
"1916","Catawba County Sheriff's Office (NC)"
"1917","Ohio State University Police Department (OH)"
"1918","Cumberland County Sheriff's Office (ME)"
"1919","South Tucson Police Department (AZ)"
"1920","Jackson Police Department (TN)"
"1921","Jefferson County Sheriff's Office (TX)"
"1922","Hoquiam Police Department (WA)"
"1923","Gladstone Police Department (MO)"
"1924","Santa Cruz County Sheriff's Office (CA)"
"1925","Buchanan County Sheriff's Office (MO)"
"1926","Webster Police Department (TX)"
"1927","Scott Township Police Department (PA)"
"1928","Sahuarita Police Department (AZ)"
"1929","Granville County Sheriff's Office (NC)"
"1930","East Point Police Department (GA)"
"1931","Montrose County Sheriff's Office (CO)"
"1932","Grand Junction Police Department (CO)"
"1933","San Angelo Police Department (TX)"
"1934","Irwindale Police Department (CA)"
"1935","Henderson County Sheriff's Office (NC)"
"1936","Ashtabula Police Department (OH)"
"1937","Ellis County Sheriff's Office (KS)"
"1938","Aiken County Sheriff's Office (SC)"
"1939","Columbus Police Department (AL)"
"1940","Butler County Sheriff's Office (KY)"
"1941","Okfuskee County Sheriff's Office (OK)"
"1942","Forks Police Department (WA)"
"1943","Clallam County Sheriff's Office (WA)"
"1944","Gladewater Police Department (TX)"
"1945","Palm Springs Police Department (CA)"
"1946","Chambersburg Police Department (PA)"
"1947","Nevada Highway Patrol (NV)"
"1948","Brookville Police Department (OH)"
"1949","Culberson County Sheriff's Office (TX)"
"1950","North Royalton Police Department (OH)"
"1951","Stevens County Sheriff's Office (MN)"
"1952","Traverse County Sheriff's Office"
"1953","Morris Police Department"
"1954","Wheaton Police Department"
"1955","North Carolina Department of Public Safety (NC)"
"1956","Lincoln CA Police Department (CA)"
"1957","Rochester (MN)"
"1958","MN Police Department (MN)"
"1959","Shelby County Sheriff's Office (AL)"
"1960","Murrieta Police Department (CA)"
"1961","Kings County Sheriff's Office (WA)"
"1962","Willoughby Police Department (OH)"
"1963","Benton Harbor Department of Public Safety (MI)"
"1964","Paris Police Department (KY)"
"1965","Santa Cruz Police Department (CA)"
"1966","Lee County Sheriff's Office (AL)"
"1967","Grants Pass Department of Public Safety (OR)"
"1968","Westlake Police Department (OH)"
"1969","Wetumka Police Department (OK)"
"1970","Rapides Parish Sheriff's Office (LA)"
"1971","U.S. Marshals (AL)"
"1972","Lauderdale County Sheriff's Office"
"1973","Florence Police Department"
"1974","Huntsville Police Department"
"1975","Madison County Sheriff's Office (AL)"
"1976","University of Colorado Boulder Police Department (CO)"
"1977","Gibson County Sheriff's Office (TN)"
"1978","Burbank Police Department (CA)"
"1979","Mackinac County Sheriff's Office (MI)"
"1980","Ventnor Police Department (NJ)"
"1981","Markham Police Department (IL)"
"1982","Putnam County Sheriff's Department (WV)"
"1983","Michigan State Police Department (MI)"
"1984","Trinity County Sheriff's Office (TX)"
"1985","Valdosta Police Department (GA)"
"1986","El Cajon Police Department (CA)"
"1987","Garden City Police Department (ID)"
"1988","Pulaski County Sheriff's Office (AR)"
"1989","Burnsville Police Department (MN)"
"1990","Unknown (NH)"
"1991","Cass County Sheriff's Office (NE)"
"1992","Decatur County Sheriff's Office (TN)"
"1993","Mashantucket Pequot Tribal Police Department (CT)"
"1994","Wood County Sheriff's Office (TX)"
"1995","Harris County Precinct 4 Constable's Office (TX)"
"1996","Cache County Sheriff's Office (UT)"
"1997","Rutherfordton Police Department (NC)"
"1998","Rutherford County Sheriff's Department (NC)"
"1999","Avon Police Department (MN)"
"2000","Taney County Sheriff's Office (MO)"
"2001","Franklin County Sheriff's Department (VT)"
"2002","Owensboro Police Department (KY)"
"2003","Cedar Rapids Police Department (IA)"
"2004","Santa Clara County Sheriff's Office (CA)"
"2005","Mercer County Sheriff's Office (WV)"
"2006","Boulder County Sheriff's Office (CO)"
"2007","Shelby County Sheriff's Office (AR)"
"2008","Aurora WA Police Department (WA)"
"2009","Wyoming Department of Public Safety (MI)"
"2010","Titusville Police Department (FL)"
"2011","Albany Police Department (GA)"
"2012","Washington County Sheriff's Office (TN)"
"2013","Douglas County Sheriff's Office (NE)"
"2014","Ellis Police Department (TX)"
"2015","East Wenatchee Police Department (WA)"
"2016","Round Lake Police Department (IL)"
"2017","Alamogordo Police Department (NM)"
"2018","Sylvania Township Police Department (OH)"
"2019","Aurora MO Police Department (MO)"
"2020","Bell County Sheriff's Department (TX)"
"2021","Weatherford Police Department (TX)"
"2022","Federal Bureau of Investigation (CA)"
"2023","Redmond Police Department (OR)"
"2024","Shelbyville Police Department (TN)"
"2025","Montague County Sheriff's Office (TX)"
"2026","Dinwiddie County Sheriff's Office (VA)"
"2027","East Ridge Police Department (TN)"
"2028","New London Police Department (WI)"
"2029","Hays Police Department (KS)"
"2030","Marin County Sheriff's Office (CA)"
"2031","Humboldt County Sheriff's Office (CA)"
"2032","Hampshire County Sheriff's Office (WV)"
"2033","Lenoir Police Department (NC)"
"2034","Fairfax County Sheriff's Office (VA)"
"2035","Unknown (CO)"
"2036","Monticello Police Department (AR)"
"2037","Tukwila Police Department (WA)"
"2038","Iberville Parish Sheriff's Office (LA)"
"2039","Lexington Police Department (KY)"
"2040","Pickaway County Sheriff's Office (OH)"
"2041","Punta Gorda Police Department (FL)"
"2042","Wilkes County Sheriff's Office (NC)"
"2043","Harrisburg Police Department (PA)"
"2044","Loudoun County Sheriff's Office (VA)"
"2045","Dodge County Sheriff's Office (WI)"
"2046","Clearfield Police Department (UT)"
"2047","Hawkins County Sheriff's Office (VA)"
"2048","West Bloomfield Police Department (MI)"
"2049","Michigan Department of Corrections (MI)"
"2050","Palm Bay Police Department (FL)"
"2051","Lake City Police Department (SC)"
"2052","Stafford County Sheriff's Office (VA)"
"2053","Wapato Police Department (WA)"
"2054","Manchester Township Division of Police (NJ)"
"2055","Northampton County Sheriff's Office (NC)"
"2056","Phillips County Sheriff's Office (MT)"
"2057","Winnebago County Sheriff's Office (IL)"
"2058","Artesia Police Department (NM)"
"2059","Blount County Sheriff's Office (TN)"
"2060","Gallup Police Department (NM)"
"2061","Riverside County Sheriff's Department"
"2062","(CA)"
"2063","Upshur County Sheriff's Office (WV)"
"2064","Waterbury Police Department (CT)"
"2065","Sheboygan Police Department (WI)"
"2066","Ocean County Sheriff's Office (NJ)"
"2067","Anson County Sheriff's Office (NC)"
"2068","Marion Police Department (IN)"
"2069","Middletown Police Department (NY)"
"2070","Berrien County Sheriff's Office (MI)"
"2071","Romulus Police Department (MI)"
"2072","Broken Bow Police Department (OK)"
"2073","Bell Police Department (CA)"
"2074","Selma Police Department (AL)"
"2075","Clovis Police Department (CA)"
"2076","St. Anthony Police Department (MN)"
"2077","Rush Springs Police Department (OK)"
"2078","U.S. Marshals Service (MS)"
"2079","Yuma County Sheriff's Office (AZ)"
"2080","Temecula Police Department (CA)"
"2081","Metro Transit Police (DC)"
"2082","Asheville Police Department (NC)"
"2083","Village of Jackson Police Department (WI)"
"2084","Washington County Sheriff's Office (WI)"
"2085","Cartersville Police Department (GA)"
"2086","Bartow County Sheriff's Office (GA)"
"2087","U.S. Marshals Service (WY)"
"2088","Park County Sheriff's Office (CO)"
"2089","Unknown (CA)"
"2090","Boone County Sheriff's Office (IA)"
"2091","Bleckley County Sheriff's Office (GA)"
"2092","Lincoln Police Department (NE)"
"2093","Thomaston Police Department (CT)"
"2094","Columbia Township Police Department (MI)"
"2095","Fulshear Police Department (TX)"
"2096","Wauwatosa Police Department (WI)"
"2097","Austin County Sheriff's Office (TX)"
